bathrooms,carouselPhotos,has3DModel,propertyType,lotAreaValue,unit,address,detailUrl,variableData,priceChange,zestimate,daysOnZillow,datePriceChanged,price,bedrooms,longitude,hasVideo,latitude,listingStatus,zpid,listingSubType,rentZestimate,contingentListingType,imgSrc,lotAreaUnit,country,currency,livingArea,hasImage
2,"[{'url': 'https://photos.zillowstatic.com/fp/136cea89fd254edd816b5acb5a67370d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5b96de1d9907355b26c3ecbc231c6737-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ddd20c6624131708806b640bfd2c3343-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/435af5f46269ee3140165ab34675a16e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/846fab2d0ee61a7961d3e52b07472cd5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e3993339ff343696f664c0c3109363d5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a851f93c4536f8dee6a3ecbd2b106fef-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f64f320601c2afdf889bb119a1f222b3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1b56bae099f506210b29aa1c56ac01d2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1fdc5345612dfefc293ad30768c52631-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/84c0128cf5b16091fbe8fc510cadfd13-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ddb323fda2c48664fc016d084e75c010-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/65963a65347f0523daa51d43de390f26-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b6be9a93d5099d4eee55bf65a7838125-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4102424c9c40c500cb0f186cb967d6b5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f8815978e5c9404e93b46d8734b4adfd-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/198d2fa41a8f7d5c79beb39b2ad2bb35-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/27f7b7d37d0de1e065c08050858935f2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c1e3b07e3271b8ec5d8672724c8b4d2a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a27d795596f6c8beac9831610690ac89-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ced90e460d3d27f19bd47457392db689-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d96a585e2b0f0995b07b656bfb896030-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8b43b083781e382f88bc747d8104e9a6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cf690f794e2cc3151c566475528ee166-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c24808458ff0082ed2dd7116a01cfbac-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/fc604e02e5b5e4aae3524449a3de2964-p_e.jpg'}]",False,CONDO,,# B,"972 E 178th St #B, Bronx, NY 10460",/homedetails/972-E-178th-St-B-Bronx-NY-10460/443921727_zpid/,,,202400,21,,199000,3,-73.88161,False,40.84174,FOR_SALE,443921727,{'is_FSBA': True},,,https://photos.zillowstatic.com/fp/136cea89fd254edd816b5acb5a67370d-p_e.jpg,,USA,USD,985,True
2,[{'url': 'https://photos.zillowstatic.com/fp/310232525bdb4d5abdea93fcbead2ad2-p_e.jpg'}],False,SINGLE_FAMILY,,"116-49 167th Street, Queens Village South, NY 11434",/homedetails/11649-167th-St-Jamaica-NY-11434/32189291_zpid/,,-300000,,17,1737360000000,349999,3,-73.779526,False,40.685883,FOR_SALE,32189291,{'is_FSBA': True},,,https://photos.zillowstatic.com/fp/310232525bdb4d5abdea93fcbead2ad2-p_e.jpg,,USA,USD,1224,True
3,"[{'url': 'https://photos.zillowstatic.com/fp/b05d68d02a928b83be2ff5d6da4a4233-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ddfbf7ed8dcfe4b18655c9235c4964ca-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/48fc50c7fbc4275f6bb485e59fd8a3a1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d6d430b7821948134807f1526d626fb8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5639fbc4cd48e0a821b3e07bb509c3e6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d19c9d4ee8b2820da05600bf813c6940-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7209041e228692bd1281d0e54b28987c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6aaab61c0b37bc5913e2aac6e1ec3c55-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d1bf6e28f4c2595c65ec506c98c68382-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3caf48c43db63be7dea822ed6c3f0de6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/10c2d9b807857e17b6d3d904eba3df8a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/205f06215b980b32927ab5e05997d3dc-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/865bcdcbd8104034cca449336fdc537a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e3ee4121ddbbc5f7752467cb2fcfa209-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4c27c85800276f437d40853db89c2233-p_e.jpg'}]",False,CONDO,,# 17IH,"100 W 57th St #17IH, New York, NY 10019",/homedetails/100-W-57th-St-17IH-New-York-NY-10019/72519078_zpid/,,,,221,,475000,3,-73.9776,False,40.764317,FOR_SALE,72519078,{'is_FSBA': True},15000,,https://photos.zillowstatic.com/fp/b05d68d02a928b83be2ff5d6da4a4233-p_e.jpg,,USA,USD,1800,True
1,"[{'url': 'https://photos.zillowstatic.com/fp/269d6cfb6e42b085464e040463930deb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b33492f3bd34a4e71c2e25f39c2c6491-p_e.jpg'}]",False,SINGLE_FAMILY,2400,"115-30 116th St, South Ozone Park, NY 11420",/homedetails/115-30-116th-St-South-Ozone-Park-NY-11420/2078094339_zpid/,,,,214,,274000,3,-73.82241,False,40.675747,FOR_SALE,2078094339,{'is_FSBA': True},2917,,https://photos.zillowstatic.com/fp/269d6cfb6e42b085464e040463930deb-p_e.jpg,sqft,USA,USD,1556,True
2,"[{'url': 'https://photos.zillowstatic.com/fp/ef634b31c291e20928824599f4104e25-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/950d30723ebdf4079a1229f48c9719b7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/016eccbe7df406f58b71ad5ab3814b28-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/59e49841b7073b1d48c63cca6c5754f4-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a2b696a34dd6cef32b743347c3a9f3aa-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a741a5edcf6722bef32f5fb718023bed-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8ca080e2b633aea3e7dcf6cfc3d1c971-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/36c11978945c052b1aaf8d1a63bb6289-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d7450b0499974a7db228fd2696d0caeb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/692a2835c360dd7918578440acfa358b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/068fb4c076394771e0f6e777be796510-p_e.jpg'}]",False,CONDO,,Apt 18G,"100 W 57th St APT 18G, Manhattan, NY 10019",/homedetails/100-W-57th-St-APT-18G-Manhattan-NY-10019/72519065_zpid/,,,366200,10,,369000,2,-73.9776,False,40.764317,FOR_SALE,72519065,{'is_FSBA': True},7589,,https://photos.zillowstatic.com/fp/ef634b31c291e20928824599f4104e25-p_e.jpg,,USA,USD,1200,True
2,"[{'url': 'https://photos.zillowstatic.com/fp/fbdd2ff98695c152bf9c1ed9d4ce679b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2fd408e5ce1a4a9dad6f0e9b99abb7a7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5522a4f7f802a29b6c1efb7a83c48716-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6dc8b4bed464067b0542f77375677b9e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3fe5409d7e0b1599f23b2995776545b7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/60aa62b63e28e42394add00a855ca828-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b2f3ecb705df7c3945b696d7dd69c4b3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/99e5e7fe741490512db6b9b804b62181-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2b6a8dd7baafbb75c99fafab002c71ec-p_e.jpg'}]",False,CONDO,,Apt 14D,"205 E 63rd St APT 14D, New York, NY 10065",/homedetails/205-E-63rd-St-APT-14D-New-York-NY-10065/443678350_zpid/,,,548600,18,,550000,2,-73.96417,False,40.763935,FOR_SALE,443678350,"{'is_FSBA': True, 'is_openHouse': True}",,,https://photos.zillowstatic.com/fp/fbdd2ff98695c152bf9c1ed9d4ce679b-p_e.jpg,,USA,USD,1335,True
10,"[{'url': 'https://photos.zillowstatic.com/fp/4cbdaff39f1258cccfefa8129958ef20-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8dd3f1d7683fa45fb8c8ac81b60500ae-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9c6d126fc5f4eac78ba8d468d3786450-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e626c943033ad5a82303713fa233ee89-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a90f6066fa0b0e185804ccd4524945e7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7c3d74181552457654d501567a09ca5a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f8834cf2e38fbedd5b9c3e8823c676fc-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f175ade3c997042299aa5a34be64d374-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b6443ed7577f9644417719024c0a26eb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e96f23f23242fec6ec76b52bd94e2420-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e2539a7ff34355ff837122e6ceddc772-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/78d796f58bf6410963ff4aa1f56951b6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8e7805fb121c8767fc099d37fcdf80e3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a8f888809a33d4bac425b031c4413107-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7b83baa73f3a5d8622d92c3968c7f5e7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f386a67dd7adaa69e52b3f6f4b82083b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b33c917fb6a69e6d76841bcb98b85d46-p_e.jpg'}]",False,CONDO,,# 127/128,"217 W 57th St #127/128, New York, NY 10019",/homedetails/217-W-57th-St-127-128-New-York-NY-10019/2068952873_zpid/,,,28783300,291,,150000000,8,-73.981,False,40.7662,FOR_SALE,2068952873,{'is_FSBA': True},8718,,https://photos.zillowstatic.com/fp/4cbdaff39f1258cccfefa8129958ef20-p_e.jpg,,USA,USD,11535,True
3,"[{'url': 'https://photos.zillowstatic.com/fp/f2b2bf9bb80076dcc0d32fa72fbef180-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9fb4a85157bc47c30c443937b38c661e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/17098e9ae92908bc315e6ae9680d659d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/11596de62a9f315440f5938f21e82643-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/bf06cff9bf097849b2c280750c777089-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7e1b13db85306b788edb499a4f1f4d74-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/31c3d2859e99c6b3852055c4676a1510-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/fdec9c4255216bf1e6d7711e962b7f10-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0dc268e0a104cc8777a8956c55c38391-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/690b64d0d2fc6014ef2585a6f954f850-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0abfdef3345bfc45db656acd886868db-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8f8505bbdacd1bfd393c509d7a366073-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d561ec0e65653fb1a61531b2a6c925cd-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a8e0892f3689e514aa80f7f8414485c7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/09463f5bbabab6e9838a1ba8edd8d5c4-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d1656b287bfa36c0eb97d21e95d566f3-p_e.jpg'}]",False,CONDO,,Apt 21A,"40 E 80th St APT 21A, New York, NY 10075",/homedetails/40-E-80th-St-APT-21A-New-York-NY-10075/244808481_zpid/,,-150000,,243,1737705600000,599000,3,-73.96141,False,40.77669,FOR_SALE,244808481,{'is_FSBA': True},18499,,https://photos.zillowstatic.com/fp/f2b2bf9bb80076dcc0d32fa72fbef180-p_e.jpg,,USA,USD,0,True
2,"[{'url': 'https://photos.zillowstatic.com/fp/ea11109ed4326d900bc29a5e07c66c7f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ba15552e6a527c303de647d867464b57-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c6b9ae3b5221ae804bb72ca9edb1b932-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b56ca5ef2b0d8da05df2c6042a1f37a5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a457f010d4787fe05ae3134be2000b68-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/bbfd82a6dd3d5e36d52ce262eceb3d69-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ed2666e82789a53fe42ef47c46614d4b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c3262f318ad3da5d43d88c912a483bdb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d07b9de92cc5378624256623ab433619-p_e.jpg'}]",False,CONDO,,Apt 1E,"340 E 72nd St APT 1E, New York, NY 10021",/homedetails/340-E-72nd-St-APT-1E-New-York-NY-10021/443837515_zpid/,,,,25,,250000,3,-73.9573,False,40.76804,FOR_SALE,443837515,{'is_FSBA': True},,,https://photos.zillowstatic.com/fp/ea11109ed4326d900bc29a5e07c66c7f-p_e.jpg,,USA,USD,1046,True
3,"[{'url': 'https://photos.zillowstatic.com/fp/98f56b14ba07443165822770b19a27a4-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/07de25f095a9685b927bf2816695fc09-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ea40d5584d90c7b0b86f39cb53bce3c1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2374f152e8498d965f51b7474667ef48-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/af3ca5d19925b77431e6573c25720c44-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6ae6dead2122502fcf5a9dc1f9d7b962-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b153bbf6bb5887d57784be088ab39607-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/56443fcf69983a223482021fff7de2db-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c298f65a8f2555bc0084824597f864c0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0c1b07e76bec2397279e8e700b52cef3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2bad0ce9d6684390d8ad0c2295ac8a2f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/143429d6c09ea97ad393ffebef2de1d8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a6f4a15c5e5a95173cf6efb9362dead1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/fc31bb67c341983a4ed46a858b254cf7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4a4b69d4ca92ba21ae7c4827bdd74f9c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7b098b5a8662700bd8cf3cc40b6387ad-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/542dd069dea5b564f9f71410db3a2fbc-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/09847d14bed4cb3b447374867c9b9524-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/31eeec7a0d8026fd4233bcb3dd1f5ad0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f807aa215120d492d8732817c2924110-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/68efde7d5fa6680730aef35e67a8df6d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/423ff10e3ac48a857d65561d619cefec-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cd94665d1e8f3e0425531bcc4fcd6a6b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/97b9a8627b71c2bc6e0f7311359915f0-p_e.jpg'}]",False,TOWNHOUSE,435.6,"48 Bianca Ct, Staten Island, NY 10312",/homedetails/48-Bianca-Ct-Staten-Island-NY-10312/32360043_zpid/,,,561200,16,,559888,4,-74.18404,False,40.564392,FOR_SALE,32360043,{'is_FSBA': True},3364,,https://photos.zillowstatic.com/fp/98f56b14ba07443165822770b19a27a4-p_e.jpg,sqft,USA,USD,1679,True
