,bathrooms,has3DModel,propertyType,lotAreaValue,unit,priceChange,zestimate,daysOnZillow,datePriceChanged,price,bedrooms,longitude,hasVideo,latitude,zpid,rentZestimate,lotAreaUnit,livingArea,Street Address,City,State/ZIP
0,2,0,CONDO,,B,,202400.0,21,,199000,3.0,-73.88161,False,40.84174,443921727,,,985,972 E 178th St #B,Bronx,NY 10460
2,3,0,CONDO,,17IH,,,221,,475000,3.0,-73.9776,False,40.764317,72519078,15000,,1800,100 W 57th St #17IH,New York,NY 10019
4,2,0,CONDO,,Apt 18G,,366200.0,10,,369000,2.0,-73.9776,False,40.764317,72519065,7589,,1200,100 W 57th St APT 18G,Manhattan,NY 10019
5,2,0,CONDO,,Apt 14D,,548600.0,18,,550000,2.0,-73.96417,False,40.763935,443678350,,,1335,205 E 63rd St APT 14D,New York,NY 10065
6,10,0,CONDO,,127/128,,28783300.0,291,,150000000,8.0,-73.981,False,40.7662,2068952873,8718,,11535,217 W 57th St #127/128,New York,NY 10019
7,3,0,CONDO,,Apt 21A,-150000.0,,243,1737705600000.0,599000,3.0,-73.96141,False,40.77669,244808481,18499,,0,40 E 80th St APT 21A,New York,NY 10075
8,2,0,CONDO,,Apt 1E,,,25,,250000,3.0,-73.9573,False,40.76804,443837515,,,1046,340 E 72nd St APT 1E,New York,NY 10021
10,6,0,MULTI_FAMILY,,6,,,124,,450000,8.0,-73.920654,False,40.706676,440959976,,,4800,58 Saint Nicholas Ave #6,Brooklyn,NY 11237
12,2,0,CONDO,,Apt 7B,,250800.0,25,,250000,3.0,-73.91482,False,40.834377,443844417,,,993,1259 Grant Ave APT 7B,Bronx,NY 10456
13,1,0,CONDO,,9,-20000.0,274700.0,139,1731571200000.0,275000,3.0,-73.90534,False,40.848816,2054481177,3749,,1100,212 E Tremont Ave #9,Bronx,NY 10457
14,1,0,CONDO,,B,10000.0,,191,1737100800000.0,375000,3.0,-73.75381,False,40.744434,2056729497,2922,,,68-09 Springfield Boulevard #B,Bayside,NY 11364
15,1,0,CONDO,,Apt 1H,,172300.0,11,,175546,2.0,-73.91769,False,40.879784,119916499,2734,,1000,80 Knolls Cres APT 1H,Bronx,NY 10463
18,1,0,CONDO,,Apt 6A,,,136,,280000,2.0,-73.92751,False,40.62981,245020022,,,900,1270 E 51 Street #6A,Brooklyn,NY 11234
21,1,0,CONDO,,Apt 18,,213500.0,18,,198000,2.0,-73.93875,False,40.806385,444452226,,,0,78 E 127th St APT 18,New York,NY 10035
22,3,0,CONDO,,Unit 4JK,-31000.0,,327,1718780400000.0,329000,3.0,-73.9776,False,40.764317,306707664,8661,,2200,100 W 57th St UNIT 4JK,Manhattan,NY 10019
24,1,0,CONDO,,Apt 34,,267100.0,124,,275000,3.0,-73.94053,False,40.821606,88061828,3285,,0,219 W 144th St APT 34,New York,NY 10030
25,2,0,CONDO,,Apt 5D,,505200.0,16,,500000,2.0,-73.96516,False,40.754032,72526128,7030,,1250,420 E 51st St APT 5D,New York,NY 10022
27,9,0,CONDO,,PENTHOUSE,,18413000.0,257,,105000000,6.0,-73.971794,False,40.7615,2069500049,53568,,8255,432 Park Ave #PENTHOUSE,New York,NY 10022
29,1,0,CONDO,,Apt 4A,,361300.0,19,,339000,2.0,-73.97452,False,40.789425,97502574,4435,,626,211 W 88th St APT 4A,New York,NY 10024
30,1,0,CONDO,,Apt 3R,,343600.0,158,,325000,1.0,-73.99334,False,40.693066,216112015,3957,,0,153 Joralemon St APT 3R,Brooklyn,NY 11201
31,1,0,CONDO,,D5,,184700.0,81,,189000,1.0,-73.84715,False,40.72772,2062999704,2367,,,67-38 108 Street #D5,Forest Hills,NY 11375
32,1,0,CONDO,,Apt 8J,-119000.0,,105,1736928000000.0,180000,1.0,-73.84501,False,40.72131,245437584,5770,,,107-40 Queens Boulevard #8J,Forest Hills,NY 11375
