,year_built,beds,baths,baths_full,garage,sqft,stories,listPrice,property_type
4,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,70000.0,Affordable
25,2003.0,3.0,3.0,2.0,2.0,1606.0,2.0,409990.0,Average
40,2003.0,3.0,3.0,2.0,2.0,1606.0,2.0,414990.0,Average
49,2020.0,3.0,3.0,2.0,2.0,1736.0,2.0,475000.0,Average
58,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,49000.0,Affordable
75,2003.0,3.0,3.0,2.0,2.0,1606.0,2.0,389990.0,Affordable
82,2003.0,3.0,2.0,2.0,2.0,1609.0,2.0,407800.0,Affordable
92,2021.0,3.0,3.0,2.0,2.0,1495.0,2.0,390000.0,Affordable
97,2003.0,3.0,3.0,2.0,2.0,1606.0,2.0,389990.0,Affordable
99,2009.0,2.0,3.0,2.0,2.0,1240.0,2.0,395000.0,Affordable
103,2013.0,4.0,3.0,2.0,2.0,2598.0,2.0,575000.0,Average
134,2020.0,3.0,3.0,2.0,2.0,1752.0,2.0,424900.0,Average
143,2003.0,3.0,3.0,2.0,2.0,2463.0,2.0,587990.0,Average
153,2005.0,3.0,2.0,2.0,2.0,1111.0,2.0,275000.0,Affordable
175,1990.0,4.0,2.0,2.0,2.0,1996.0,2.0,500000.0,Average
176,2022.0,3.0,3.0,2.0,2.0,1495.0,2.0,390000.0,Affordable
177,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,414990.0,Average
179,2003.0,3.0,3.0,2.0,2.0,1547.0,2.0,444990.0,Average
188,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,25000.0,Affordable
189,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,35000.0,Affordable
190,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,20000.0,Affordable
191,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,249000.0,Affordable
192,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,385000.0,Affordable
193,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,160000.0,Affordable
194,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,47500.0,Affordable
196,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,75000.0,Affordable
197,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,220000.0,Affordable
198,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,47500.0,Affordable
199,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,155000.0,Affordable
200,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,99000.0,Affordable
201,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,30000.0,Affordable
